# LAMMPS data file written by OVITO Basic 3.14.1

420 atoms
3 atom types

0.000000   12.820421   xlo xhi
0.000000    12.336456  ylo yhi
0.000000    91.136543  zlo zhi
0.000000    0.000000   0.000000   xy xz yz


Masses

  1  1.00794  # H
  2  12.0107  # C
  3  15.9994  # O

Atoms  # atomic

  1  2  0.712674383  0.6169708375  31.4978828993
  2  2  1.4249128716  1.8506164375  31.4978828993
  3  2  0.712674383  3.0842620375  31.4978828993
  4  2  1.4249128716  4.3179076375  31.4978828993
  5  2  0.712674383  5.5515532375  31.4978828993
  6  2  1.4249128716  6.7851988375  31.4978828993
  7  2  0.712674383  8.0188444375  31.4978828993
  8  2  1.4249128716  9.2524900375  31.4978828993
  9  2  0.712674383  10.4861356375  31.4978828993
  10  2  1.4249128716  11.7197812375  31.4978828993
  11  2  2.8494026694  1.8506164375  31.4978828993
  12  2  3.5616539784  3.0842620375  31.4978828993
  13  2  2.8494026694  4.3179076375  31.4978828993
  14  2  3.5616539784  5.5515532375  31.4978828993
  15  2  2.8494026694  6.7851988375  31.4978828993
  16  2  3.5616539784  8.0188444375  31.4978828993
  17  2  2.8494026694  9.2524900375  31.4978828993
  18  2  3.5616539784  10.4861356375  31.4978828993
  19  2  2.8494026694  11.7197812375  31.4978828993
  20  2  3.5616539784  0.6169708375  31.4978828993
  21  2  4.9861437762  0.6169708375  31.4978828993
  22  2  5.6983822648  1.8506164375  31.4978828993
  23  2  4.9861437762  3.0842620375  31.4978828993
  24  2  5.6983822648  4.3179076375  31.4978828993
  25  2  4.9861437762  5.5515532375  31.4978828993
  26  2  5.6983822648  6.7851988375  31.4978828993
  27  2  4.9861437762  8.0188444375  31.4978828993
  28  2  5.6983822648  9.2524900375  31.4978828993
  29  2  4.9861437762  10.4861356375  31.4978828993
  30  2  5.6983822648  11.7197812375  31.4978828993
  31  2  7.122884883  1.8506164375  31.4978828993
  32  2  7.8351233716  3.0842620375  31.4978828993
  33  2  7.122884883  4.3179076375  31.4978828993
  34  2  7.8351233716  5.5515532375  31.4978828993
  35  2  7.122884883  6.7851988375  31.4978828993
  36  2  7.8351233716  8.0188444375  31.4978828993
  37  2  7.122884883  9.2524900375  31.4978828993
  38  2  7.8351233716  10.4861356375  31.4978828993
  39  2  7.122884883  11.7197812375  31.4978828993
  40  2  7.8351233716  0.6169708375  31.4978828993
  41  2  9.2596131694  0.6169708375  31.4978828993
  42  2  9.9718644784  1.8506164375  31.4978828993
  43  2  9.2596131694  3.0842620375  31.4978828993
  44  2  9.9718644784  4.3179076375  31.4978828993
  45  2  9.2596131694  5.5515532375  31.4978828993
  46  2  9.9718644784  6.7851988375  31.4978828993
  47  2  9.2596131694  8.0188444375  31.4978828993
  48  2  9.9718644784  9.2524900375  31.4978828993
  49  2  9.2596131694  10.4861356375  31.4978828993
  50  2  9.9718644784  11.7197812375  31.4978828993
  51  2  11.3963542762  1.8506164375  31.4978828993
  52  2  12.1085927648  3.0842620375  31.4978828993
  53  2  11.3963542762  4.3179076375  31.4978828993
  54  2  12.1085927648  5.5515532375  31.4978828993
  55  2  11.3963542762  6.7851988375  31.4978828993
  56  2  12.1085927648  8.0188444375  31.4978828993
  57  2  11.3963542762  9.2524900375  31.4978828993
  58  2  12.1085927648  10.4861356375  31.4978828993
  59  2  11.3963542762  11.7197812375  31.4978828993
  60  2  12.1085927648  0.6169708375  31.4978828993
  61  2  4.2607130743  6.8347297083  38.0622658185
  62  2  3.7907164404  8.7257233663  39.0872785176
  63  2  4.6397103599  9.0357261691  37.8682361185
  64  2  8.9287052829  10.693733519  35.2452352744
  65  2  11.0557156902  10.0497335065  35.6742149823
  66  2  11.0167159695  11.5267280375  35.3731909808
  67  2  11.840710068  5.7087320234  41.2162281621
  68  2  12.5227051835  7.7837239226  40.9332491961
  69  2  11.1327151387  7.6037226931  40.2972072625
  70  2  6.721708269  7.5117297407  49.7292015072
  71  2  8.4667085918  6.7717274275  48.5112527466
  72  2  8.7807063429  6.5647216958  50.0112691078
  73  2  8.9917048317  3.8607309146  53.7902458633
  74  2  10.6177060067  2.5437278814  54.6022724614
  75  2  9.6227131329  2.9787236564  55.7072119087
  76  2  7.5747149803  4.7557284609  36.3482608543
  77  2  7.7577136696  6.8667304752  35.6722099783
  78  2  8.3747092507  6.7367289018  37.1012309726
  79  2  3.6927043219  8.9607328531  46.632199503
  80  2  5.4737043868  7.8857217408  45.7122672379
  81  2  4.1807136473  7.0717253645  45.6012629286
  82  2  0.9707109964  5.7287294185  49.6562011363
  83  2  2.7867108107  4.4057308677  49.8442158245
  84  2  3.2327076164  5.8847239047  49.6802611836
  85  2  10.9047039512  11.5001799842  41.008254571
  86  2  11.2157145443  1.2117237177  41.8931904035
  87  2  9.7587121589  0.7237305277  42.0512211691
  88  2  2.0407161535  2.2057336599  41.6252489671
  89  2  3.185707953  3.4367269218  40.0822161576
